Store Name	latitude	longitude	_category	Province_Full	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	_blurb
Incredible Thrift	44.7680480	-63.6857719	Thrift Stores	Nova Scotia	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 20:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 11:00 T: 17:00	<p>592a Sackville Dr, Lower Sackville, NS, B4C 2S3<br>902 449-6181</p>
Jane's Again	45.0917692	-64.3603241	Thrift Stores	Nova Scotia	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 09:00 T: 17:00	F: 12:00 T: 16:00	<p>390 Main St, Wolfville, NS, B4P 1C9<br>902 542-1671</p>
Just Kidding Kids Consignment	45.0708399	-64.4724137	Thrift Stores	Nova Scotia	F: 10:00 T: 16:30	F: 10:00 T: 16:30	closed	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	closed	<p>4 Commercial St #9323, New Minas, NS, B4N 3E9<br>902 365-5228</p>
King's SPCA Thrift Store	45.0717849	-64.4728820	Thrift Stores	Nova Scotia	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>8759 Commercial St, New Minas, NS, B4N 3C4<br>902 681-6700</p>
Ladies Consignment Shop	45.7118608	-63.2906597	Thrift Stores	Nova Scotia								<p>246 Main St, Tatamagouche, NS, B0K 1V0</p>
Louis Good Used Clothing	45.3524747	-63.2937121	Thrift Stores	Nova Scotia	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 16:00	F: 12:00 T: 17:00	<p>361 Willow St, Truro, NS, B2N 5A6<br>902 893-7719</p>
Lucky's Love It Again Goods	44.7303901	-63.6582365	Thrift Stores	Nova Scotia								<p>Bedford, NS,<br>902 240-0047</p>
Mission Thrift Store	44.7589879	-63.6513712	Thrift Stores	Nova Scotia	F: 09:00 T: 18:30	F: 09:00 T: 18:30	F: 09:00 T: 18:30	F: 09:00 T: 18:30	F: 09:00 T: 18:30	F: 09:00 T: 17:00	closed	<p>31 Temple Terrace, Lower Sackville, NS, B4C 0B5<br>902 461-2364</p>
My City Life Consignment	44.7332533	-63.6538689	Thrift Stores	Nova Scotia	F: 10:00 T: 18:30	F: 10:00 T: 18:30	F: 10:00 T: 18:30	F: 10:00 T: 18:30	F: 10:00 T: 18:30	F: 10:00 T: 18:00	F: 12:00 T: 17:00	<p>1595 Bedford Hwy, Bedford, NS, B4A 3Y4<br>902 832-4271</p>
New to You - STEPs on Arthur	45.3620783	-63.2792521	Thrift Stores	Nova Scotia	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 20:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 12:00 T: 16:00	<p>184 Arthur St, Truro, NS, B2N 1Y4<br>902 893-7228</p>
Nora's New to You Thrift Store	46.2422469	-60.2317368	Thrift Stores	Nova Scotia	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	closed	<p>815 Main St, Sydney Mines, NS, B1V 2L9<br>902 736-1435</p>
NU2U Thrift Store	43.7492064	-65.3097898	Thrift Stores	Nova Scotia	closed	closed	F: 13:00 T: 16:00	F: 13:00 T: 16:00	F: 13:00 T: 16:00	F: 13:00 T: 15:00	closed	<p>1606 Lake Rd, Shelburne, NS, B0T 1W0</p>
Retro Runway Fashions	45.0918621	-64.3622152	Thrift Stores	Nova Scotia	closed	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 16:00	closed	<p>2 Central Ave, Wolfville, NS, B4P 2A6<br>902 692-9271</p>
Revival Shop	45.0642534	-64.1813173	Thrift Stores	Nova Scotia	F: 09:00 T: 12:00	F: 14:00 T: 16:00	F: 14:00 T: 16:00	F: 18:00 T: 20:00	closed	F: 09:00 T: 12:00	closed	<p>6 Willow St, Hantsport, NS, B0P 1P0<br>902 684-9265</p>
Rick's Riches Thrift Store	44.9414536	-63.5363885	Thrift Stores	Nova Scotia	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	F: 09:00 T: 15:00	closed	<p>21 Convent Rd, Enfield, NS, B2T 1C9<br>902 883-4910</p>
Salvation Army	45.5874665	-62.6429426	Thrift Stores	Nova Scotia	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	closed	closed	<p>134 James St, New Glasgow, NS, B2H 0A7<br>902 752-1804</p>
St. Thomas Thrift Shop	44.7888254	-63.1108332	Thrift Stores	Nova Scotia	F: 11:00 T: 16:00	F: 11:00 T: 16:00	closed	F: 11:00 T: 16:00	F: 11:00 T: 16:00	F: 09:00 T: 12:00	closed	<p>8498 NS Trunk 7, Musquodoboit Harbour, NS, B0J 2L0<br>902 889-3471</p>
Tatamagouche Buy & Sell	45.7157545	-63.2990017	Thrift Stores	Nova Scotia	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 17:00	closed	<p>91 Main St, Tatamagouche, NS, B0K 1V0<br>902 657-0494</p>
The Grateful Wardrobe	44.6447094	-63.5786938	Thrift Stores	Nova Scotia	F: 11:00 T: 17:30	F: 11:00 T: 17:30	F: 11:00 T: 17:30	F: 11:00 T: 17:30	F: 11:00 T: 17:30	F: 11:00 T: 17:00	F: 12:00 T: 16:00	<p>1595 Dresden Row, Halifax, NS, B3J 2K4<br>902 406-2499</p>
The Hospice Thrift Store	44.7595487	-63.6569576	Thrift Stores	Nova Scotia	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	closed	<p>32 Glendale Ave, Lower Sackville, NS, B4C 3M1<br>902 706-3763</p>
The Salvation Army Thrift Store	44.6618934	-63.6193601	Thrift Stores	Nova Scotia	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>3667 Strawberry Hill St, Halifax, NS, B3K 5A8<br>902 453-1880</p>
The Salvation Army Thrift Store	44.7502807	-63.6466609	Thrift Stores	Nova Scotia	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>205 Damascus Rd, Bedford, NS, B4A 0C2<br>902 832-2043</p>
The Salvation Army Thrift Store	44.6822132	-63.5399053	Thrift Stores	Nova Scotia	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>125 Main St, Dartmouth, NS, B2X 1R6<br>902 435-6508</p>
The Salvation Army Thrift Store	44.6711897	-63.5000467	Thrift Stores	Nova Scotia	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>971 Cole Harbour Rd, Dartmouth, NS, B2V 1E8<br>902 435-5625</p>
The Salvation Army Thrift Store	44.6715358	-63.5784649	Thrift Stores	Nova Scotia	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>118 Wyse Rd, Dartmouth, NS, B3A 1N7<br>902 463-3500</p>
The Salvation Army Thrift Store	43.8349118	-66.1199855	Thrift Stores	Nova Scotia	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 10:00 T: 15:00	closed	<p>287 Main St, Yarmouth, NS, B5A 1E2<br>902 742-7749</p>
The Sunset Community Thrift Store	45.7360653	-63.8671225	Thrift Stores	Nova Scotia	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 08:00 T: 16:30	closed	<p>18 Water St, Oxford, NS, B0M 1P0<br>902 552-2199</p>
Treasured Friends Gift Ltd	44.3769335	-64.5181238	Thrift Stores	Nova Scotia	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>505 King St, Bridgewater, NS, B4V 1B3<br>902 527-1789</p>
Value Village	45.0708399	-64.4724137	Thrift Stores	Nova Scotia	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 19:00	<p>9256 Commercial St, New Minas, NS, B4N 4A9<br>902 680-3662</p>
Value Village	44.6834760	-63.6117895	Thrift Stores	Nova Scotia	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 19:00	<p>85 Damascus Rd #1, Bedford, NS, B4A 0C2<br>902 800-9282</p>
Value Village	44.6834760	-63.6117895	Thrift Stores	Nova Scotia	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 19:00	<p>610 E River Rd, New Glasgow, NS, B2H 3S2<br>902 600-0016</p>
The Salvation Army Thrift Store	45.3640366	-63.2727028	Thrift Stores	Nova Scotia	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>966 Prince St, Truro, NS, B2N 1H8<br>902 895-9376</p>
Consignment Shop	45.0775123	-64.5000781	Thrift Stores	Nova Scotia	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 11:00 T: 17:00	F: 12:00 T: 17:00	<p>484 Main St, Kentville, NS, B4N 1L3<br>902 678-4761</p>
Guy's Frenchys	45.0674482	-64.5771944	Thrift Stores	Nova Scotia	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>6931 NS Trunk 1, Coldbrook, NS, B4R 1B6<br>902 679-0452</p>
Oats Thrift Store	45.0773473	-64.4964954	Thrift Stores	Nova Scotia	closed	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	closed	<p>1 Aberdeen St, Kentville, NS, B4N 2M9<br>902 678-0062</p>
Pinkies Thrift	44.6637729	-63.6108904	Thrift Stores	Nova Scotia	F: 09:00 T: 15:30	F: 09:00 T: 15:30	F: 09:00 T: 15:30	F: 09:00 T: 15:30	F: 09:00 T: 15:30	closed	closed	<p>3486 Prescott St, Halifax, NS, B3K 4Y4<br>902 454-7387</p>
Only Brands Online Thrift	44.6615927	-63.6655906	Thrift Stores	Nova Scotia	open24hours	open24hours	open24hours	open24hours	open24hours	open24hours	open24hours	<p>291 Radcliffe Dr, Halifax, NS, B3S 1H8<br>902 237-8894</p>
Hand in Hand	44.6070011	-63.6140067	Thrift Stores	Nova Scotia	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>440 Herring Cove Rd, Halifax, NS, B3R 1W4<br>902 477-7744</p>
Value Village	44.6450833	-63.6688969	Thrift Stores	Nova Scotia	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 20:00	<p>165 Chain Lake Dr, Halifax, NS, B3S 1B3<br>902 450-5134</p>
Mission Mart	44.6465651	-63.6793838	Thrift Stores	Nova Scotia	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	<p>265 Susie Lake Crescent, Halifax, NS, B3S 0J5<br>902 453-6278</p>
Lost & Found	44.6527609	-63.5895543	Thrift Stores	Nova Scotia	closed	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 17:00	<p>2383 Agricola St, Halifax, NS, B3K 4B8<br>902 446-5986</p>
The Loot Vintage	44.6474863	-63.5740555	Thrift Stores	Nova Scotia	closed	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	<p>1711 Barrington St, Halifax, NS, B3J 2A4<br>902 407-1391</p>
The Has Bin	44.6407521	-63.5847849	Thrift Stores	Nova Scotia	closed	closed	F: 12:00 T: 17:00	F: 12:00 T: 17:00	F: 12:00 T: 17:00	F: 12:00 T: 17:00	F: 12:00 T: 17:00	<p>5896 Spring Garden Rd, Halifax, NS,</p>
Great Things In Store	44.6131085	-63.6165199	Thrift Stores	Nova Scotia	F: 09:30 T: 16:30	F: 09:30 T: 16:30	F: 09:30 T: 16:30	F: 09:30 T: 16:30	F: 09:30 T: 16:00	closed	F: 10:00 T: 16:00	<p>334 Herring Cove Rd, Halifax, NS, B3R 1V9<br>902 406-3051</p>
Meyvn Sustainable Apparel	44.6535410	-63.5858093	Thrift Stores	Nova Scotia	closed	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 17:00	F: 12:00 T: 17:00	<p>2240 Gottingen St, Halifax, NS, B3K 0H4<br>902 422-8498</p>
Elsie's Consignment Clothing	44.6437066	-63.5766837	Thrift Stores	Nova Scotia	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 12:00 T: 17:00	<p>1530 Queen St, Halifax, NS, B3J 2H8<br>902 425-2599</p>
50 Hats	44.6369054	-63.5730465	Thrift Stores	Nova Scotia								<p>1086 Queen St, Halifax, NS, B3H 2R9<br>902 482-4287</p>
KingsPIER Vintage	44.6501813	-63.5728883	Thrift Stores	Nova Scotia	F: 13:00 T: 17:00	F: 13:00 T: 17:00	F: 13:00 T: 17:00	F: 13:00 T: 17:00	F: 13:00 T: 17:00	F: 13:00 T: 17:00	F: 13:00 T: 17:00	<p>1869 Upper Water St, Halifax, NS, B3J 1S7<br>902 791-1963</p>
Brilliant Clothing Boutique	44.6438358	-63.5771492	Thrift Stores	Nova Scotia	closed	F: 10:00 T: 17:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 17:00	closed	<p>1539 Birmingham St, Halifax, NS, B3J 2J6<br>902 446-3662</p>
Florence's Collection	44.6504762	-63.5858689	Thrift Stores	Nova Scotia								<p>2055 North Park St, Halifax, NS, B3K 4B2</p>
Bay B Boutique	44.6692629	-63.6087222	Thrift Stores	Nova Scotia	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 18:00	closed	<p>3548 Novalea Dr, Halifax, NS, B3K 3E8<br>902 454-4107</p>
Once Upon a Child - Halifax	44.6483992	-63.6755531	Thrift Stores	Nova Scotia	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 11:00 T: 18:00	<p>201 Chain Lake Dr, Halifax, NS, B3S 1C8<br>902 406-2624</p>
REIYEECLOTHING	44.6567742	-63.5962245	Thrift Stores	Nova Scotia	closed	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	F: 12:00 T: 18:00	<p>5765 May St, Halifax, NS, B3K 1R8</p>
Value Village	44.6834760	-63.6117895	Thrift Stores	Nova Scotia	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 20:00	<p>375 Pleasant St 101, Dartmouth, NS, B2Y 4N4<br>902 463-4054</p>
Dartmouth SPCA Thrift Store	44.7037161	-63.6100459	Thrift Stores	Nova Scotia	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	<p>800a Windmill Rd, Dartmouth, NS, B3B 1T3<br>902 463-1666</p>
Again & Again	47.6160793	-52.7260278	Thrift Stores	Newfoundland & Labrador	closed	closed	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	closed	<p>25 Hebron Way, St. John&#x27;s, NL, A1A 0M1<br>709-793-3720</p>
Beagle Paws Thrift Store	47.5504492	-52.7294385	Thrift Stores	Newfoundland & Labrador	closed	F: 12:00 T: 16:00	F: 12:00 T: 16:00	F: 12:00 T: 16:00	F: 12:00 T: 16:00	F: 12:00 T: 16:00	closed	<p>33 Symonds Ave, St. John&#x27;s, NL, A1E 1S6<br>709-754-7297</p>
Big Eds Second Hand Store	48.9441387	-55.6984060	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 15:00	closed	<p>116 Main Street, Grand Falls-Windsor, NL, A2B 1J7<br>(709) 393-0540</p>
Bombshell by Michelle	47.5236719	-52.7715944	Thrift Stores	Newfoundland & Labrador	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 12:00 T: 16:00	<p>673 Topsail Rd, St. John&#x27;s, NL, A1E 2E3</p>
Clarenville Area SPCA Thrift Store	48.1713731	-53.9615152	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>277 Marine Dr, Clarenville, NL, A5A 1R5<br>709-433-0004</p>
Dats-A-Goodie	47.5545338	-52.7138884	Thrift Stores	Newfoundland & Labrador	F: 12:30 T: 17:00	F: 12:30 T: 17:00	F: 12:30 T: 17:00	F: 12:30 T: 17:00	F: 12:30 T: 17:00	F: 12:30 T: 17:00	closed	<p>570 Water St, St. John&#x27;s, NL, A1E 1B8<br>709-769-2494</p>
Family Aid Center	47.1701334	-55.1498810	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	closed	closed	<p>Ville Marie Drive, Marystown, NL, A0E 2M0<br>(709) 279-3156</p>
Found Consignment Boutique	47.5472230	-52.7209659	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 12:00 T: 17:00	<p>1 Waterford Bridge Rd, St. John&#x27;s, NL, A1E 1C5<br>(709) 752-1122</p>
Goodwill Centre	48.6644689	-54.0711010	Thrift Stores	Newfoundland & Labrador	closed	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	<p>1 Station Rd, Glovertown, NL, A0G 2L0<br>709-533-2113</p>
Goodwill Centre	48.9589472	-54.5925981	Thrift Stores	Newfoundland & Labrador	F: 09:30 T: 17:00	F: 09:30 T: 17:00	F: 09:30 T: 17:00	F: 09:30 T: 17:00	F: 09:30 T: 17:00	closed	closed	<p>90 Roe Ave, Gander, NL, A1V 1W6</p>
Habitat for Humanity Re-store	47.5522684	-52.7742573	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>323 Kenmount Rd, St. John&#x27;s, NL, A1B 3P9<br>709-753-2721</p>
Interfaith Goodwill Ctr	49.2447506	-55.0568768	Thrift Stores	Newfoundland & Labrador	closed	F: 13:00 T: 16:00	F: 13:00 T: 16:00	F: 13:00 T: 16:00	closed	closed	closed	<p>160 Main St, Lewisporte, NL, A0G 3A0<br>709-535-2551</p>
Little Darlings	47.5189	-52.8082	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	closed	<p>2 Edinburgh Dr, Mount Pearl, NL, A1N 1E7<br>709-747-2888</p>
MHB Thrift Store	47.9310	-56.2540	Thrift Stores	Newfoundland & Labrador	closed	F: 18:00 T: 20:00	F: 13:00 T: 15:00	F: 18:00 T: 20:00	closed	closed	F: 13:00 T: 15:00	<p>78 Main St, Milltown, NL, A0H 1W0<br>709-882-2232</p>
Model Citizens	47.5622015	-52.7109193	Thrift Stores	Newfoundland & Labrador	closed	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 12:00 T: 17:00	<p>245 Duckworth St, St. John&#x27;s, NL, A1C 1G8</p>
My Friends Thrift Shop	47.8615646	-53.0918642	Thrift Stores	Newfoundland & Labrador								<p>NL-70, Cupids, NL, A0A 2B0</p>
N & U (Consignment & Resale)	49.7151927	-54.2837244	Thrift Stores	Newfoundland & Labrador								<p>30 Main St, Fogo, NL, A0G 2B0</p>
Neighbourhood	47.5958356	-52.7095836	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>38 Pearson St., St. John&#x27;s, NL, A1A 3R1<br>709-552-8379</p>
Previously Loved Clothes & Things	47.5488472	-52.7806378	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	<p>351 Kenmount Rd, St. John&#x27;s, NL, A1B 3P9<br>709-753-7283</p>
Salvation Army	49.9346116	-56.3871559	Thrift Stores	Newfoundland & Labrador								<p>44 Church Rd, Seal Cove, NL, A0H 2G0<br>709-851-4100</p>
Salvation Army Family Service Centre	49.1722080	-57.4205095	Thrift Stores	Newfoundland & Labrador	F: 10:00 T: 15:30	F: 10:00 T: 15:30	F: 10:00 T: 15:30	F: 10:00 T: 15:30	F: 10:00 T: 15:30	F: 10:00 T: 15:30	closed	<p>17 Main St. N., Deer Lake, NL, A8A 1W7<br>709-635-3377</p>
Salvation Army Family Services	48.9568737	-54.6091531	Thrift Stores	Newfoundland & Labrador	F: 08:30 T: 12:00 and F: 13:00 T: 16:00	F: 08:30 T: 12:00 and F: 13:00 T: 16:00	F: 08:30 T: 12:00 and F: 13:00 T: 16:00	F: 08:30 T: 12:00 and F: 13:00 T: 16:00	F: 08:30 T: 12:00 and F: 13:00 T: 16:00	closed	closed	<p>157 Airport Blvd, Gander, NL, A1V 1K6<br>709-256-4480</p>
Salvation Army Family Thrift Centre	47.7396866	-53.2162367	Thrift Stores	Newfoundland & Labrador								<p>156 Water St., Carbonear, NL, A1Y 1A9<br>(709) 596-2958</p>
Salvation Army Thrift Store	47.1662	-55.1575	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>407 Creston Blvd, Creston South, NL, A0E 1K0<br>+1 800-725-2769</p>
Salvation Army Thrift Store	47.5253	-54.0013	Thrift Stores	Newfoundland & Labrador	closed	closed	F: 13:00 T: 16:30	F: 13:00 T: 16:30	F: 13:00 T: 16:30	F: 13:00 T: 16:30	closed	<p>249 Main Rd, Arnold&#x27;s Cove, NL, A0B 1A0<br>709-463-2410</p>
Salvation Army Thrift Store	48.9490160	-55.6501516	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	closed	closed	<p>16 Hardy Avenue, Grand Falls-Windsor, NL, A2A 2P9<br>709-489-7751</p>
Salvation Army Thrift Store	48.5504254	-58.5754635	Thrift Stores	Newfoundland & Labrador	closed	F: 10:30 T: 17:00	F: 10:30 T: 17:00	F: 10:30 T: 17:00	F: 10:30 T: 17:00	F: 10:30 T: 17:00	closed	<p>136 Main Street, Stephenville, NL, A2N 1J3<br>709-643-6611</p>
Salvation Army Thrift Store	48.9600407	-55.6634588	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 14:00	F: 09:00 T: 14:00	F: 09:00 T: 14:00	F: 09:00 T: 14:00	F: 09:00 T: 14:00	closed	F: 11:00 T: 13:00	<p>27 Park Street, Grand Falls-Windsor, NL, A2B 1C7<br>(709) 489-4432</p>
Salvation Army Thrift Store	47.5725837	-59.1375154	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	closed	<p>98 Main St. W., Channel-Port aux Basques, NL, A0M 1C0<br>(709) 695-7153</p>
Salvation Army Thrift Store	47.1024206	-55.7577833	Thrift Stores	Newfoundland & Labrador								<p>17 Church Street, Grand Bank, NL, A0E 1W0<br>709-832-2277</p>
Salvation Army Thrift Store	48.9886	-57.6098	Thrift Stores	Newfoundland & Labrador	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>West End Industrial Park, Pasadena, NL, A0L 1K0<br>709-686-3443</p>
Salvation Army Thrift Store	48.1471744	-53.9604120	Thrift Stores	Newfoundland & Labrador	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	closed	<p>347 Memorial Drive, Clarenville, NL, A5A 1R8<br>(709) 466-3337</p>
