Business Name	First Name	Last Name	Email Address	Website	Phone	Category	Sub Category	street	town	post code	country	lat	lng	Original 'Street Address	on_website	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	blurb	image_file	org_map_name	card_layout		iframe
Natalinos Pizza	Scott	Carrigan	Scottcarrigan01@gmail.com		(902) 679-3838	Business	Eateries	252 Main St	Kentville	NS B4N 1J9	Canada	45.0753459	-64.4896654	252 main st    Kentville  Nova Scotia  B4N 5G5  CA	False	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 12:00 T: 21:00	<b>Natalino's Pizza</b> — A neighbourhood favourite for hot, generous pizza and Italian-inspired comfort food. Classic pies, subs, garlic fingers, and delivery. Reliable quality, friendly service, and great value since day one.<br><i>📍 252 Main St</i> &nbsp;|&nbsp; 📞 (902) 679-3838	Natalinos_Pizza.jpg	business-map	image		
TACOcentric	Dan	Casey	dan@tacocentric.ca	tacocentric.ca	902-300-4226	Business	Eateries	437 Main St #3	Kentville	NS B4P 1E1	Canada	45.07763	-64.49745	437 Main St, Unit 3, Kentville, CA B4N 1K9	True	closed	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 20:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 12:00 T: 20:00	<b>TACOcentric</b> — Kentville's go-to for unconventional Mexican-inspired eats! Build your own tacos, burritos, bowls, and nachos with locally sourced ingredients. Women-owned, fully licensed, with vegan and GF options galore. <em>Making a difference, one taco at a time!</em><br><i>📍 437 Main St #3</i> &nbsp;|&nbsp; 📞 902-300-4226 &nbsp;|&nbsp; 🌐 tacocentric.ca	TACOcentric.jpg	business-map	image		
TAN Coffee	Lay Chin	Tan	laychin@tancoffee.com	https://tancoffee.com/	902-680-5728	Business	Eateries	431 Main St	Kentville	NS B4N 3X4	Canada	45.07743	-64.496991	431 Main Street    Kentville  NS  B4N 1K7  CA	True	F: 7:00 T: 18:00	F: 7:00 T: 18:00	F: 7:00 T: 18:00	F: 7:00 T: 18:00	F: 7:00 T: 18:00	F: 8:00 T: 18:00	F: 8:00 T: 18:00	<b>T.A.N. Coffee</b> — Micro-roaster and café serving 100% organic, fairly traded coffees since 2007. Beans roasted on-site in small batches. Fresh food, baked goods, loose-leaf teas, and a warm community atmosphere with free Wi-Fi.<br><i>📍 431 Main St</i> &nbsp;|&nbsp; 📞 902-680-5728 &nbsp;|&nbsp; 🌐 tancoffee.com	TAN_Coffee.jpg	business-map	image		
Wheelhouse Coffee Co.	Jacey, Amos	Gillespie	Wheelhousecoffee2018@gmail.com	https://wheelhousecoffee.co/	(902) 385-1998	Business	Eateries	2 Webster St	Kentville	NS B4N 1H7	Canada	45.0779585	-64.4943448	2 Webster St, Kentville, NS B4N 1H7	True	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 9:00 T: 16:00	closed	<b>Wheelhouse Coffee Co.</b> — A specialty coffee roaster and cozy café on Webster Street. Ethically sourced beans roasted in small batches, expert espresso drinks, pour-overs, and fresh baked goods. A quiet haven for coffee purists.<br><i>📍 2 Webster St</i> &nbsp;|&nbsp; 📞 (902) 385-1998 &nbsp;|&nbsp; 🌐 wheelhousecoffee.co	Wheelhouse_Coffee_Co.jpg	business-map	image		
Half Acre Cafe	Mayur	Buha	mayur.buha@outlook.com	http://www.halfacrecafe.com		Business	Eateries	395 Main St	Kentville	NS B4N 1K7	Canada	45.0773498	-64.4958966	395 Main Street, Kentville Nova Scotia B4N 1K7	True	F: 7:00 T: 17:00	F: 7:00 T: 17:00	F: 7:00 T: 17:00	F: 7:00 T: 17:00	F: 7:00 T: 17:00	F: 8:00 T: 16:00	F: 9:00 T: 15:00	<b>Half Acre Café</b> — Celebrating fresh food, great local coffee, and community stories. Fresh sandwiches named after local landmarks, scratch-made soups, baked goods, and barista favourites. Fully licensed. Breakfast, lunch, and evening pizza.<br><i>📍 395 Main St</i> &nbsp;|&nbsp; 🌐 www.halfacrecafe.com	Half_Acre_Cafe.jpg	business-map	image		
Paddy's Pub / Rosie's Restaurant	John	FitzGerald	gm@paddyspub.ca	http://paddyspub.ca	902-678-3199	Business	Eateries	42 Aberdeen St	Kentville	NS B4N 2N1	Canada	45.0781664	-64.4967092	42 Aberdeen Street    Kentville  NS  B4N 2N1  CA	True	F: 8:00 T: 22:00	F: 8:00 T: 22:00	F: 8:00 T: 22:00	F: 8:00 T: 22:00	F: 8:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	<b>Paddy's Irish Brewpub &amp; Rosie's Restaurant</b> — <em>Faith &amp; Begorrah!</em> Welcoming guests since 1992 with Nova Scotia's oldest craft brewery (est. 1995). Fresh seafood, locally sourced burgers, house-brewed craft beer, live music, and legendary Memphis Rib Nights.<br><i>📍 42 Aberdeen St</i> &nbsp;|&nbsp; 📞 902-678-3199 &nbsp;|&nbsp; 🌐 paddyspub.ca	Paddys_Pub_Rosies_Restaurant.jpg	business-map	chat	"<iframe src=""askcura.ai"" title=""description""></iframe>"	
North's Collision Centre	Fred	North	fred@northscollision.com	http://www.northscollision.com	902-678-1600	Business	Automotive / Mechanical	19 Chipman Dr	Kentville	NS B4N 3V7	Canada	45.0677334	-64.547335	19 Chipman Drive    Kentville  NS  B4N 3V7  CA	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>North's Collision Centre</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 19 Chipman Dr</i> &nbsp;|&nbsp; 📞 902-678-1600 &nbsp;|&nbsp; 🌐 www.northscollision.com	Norths_Collision_Centre.jpg	business-map	image		
Family Tire Ltd.	Adam	Simpson	adam@familytire.ca	https://familytire.ca	902-678-2148	Business	Automotive / Mechanical	144 Bridge St	Kentville	NS B4N 2E6	Canada	45.0805043	-64.4953258	144 Bridge Street    Kentville  NS  B4N 2E6  CA	True	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>Family Tire Ltd.</b> — Trusted tire and auto service in Kentville. New tires, seasonal changeovers, alignments, and mechanical service. Keeping Valley families safe on the road.	Family_Tire_Ltd.jpg	business-map	image		
Butts Auto Service	Amber Poberezny (Service Manager	Neison Bard (Shop Foreman)	service@buttsauto.ca; clinton@buttsauto.ca	Clinton Townsend is the owner.	902-678-4778	Business	Automotive / Mechanical	541 Main St	Kentville	NS B4N 1L4	Canada	45.0782682	-64.5033685	541 Main Street    Kentville  NS  B4N 1L4  CA	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>Butts Auto Service</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 541 Main St</i> &nbsp;|&nbsp; 📞 902-678-4778 &nbsp;|&nbsp; 🌐 Clinton Townsend is the owner.	Butts_Auto_Service.jpg	business-map	image		
Valley Tire	Derek	Quigley	derek@valleytire.ca	http://www.valleytire.ca	902-678-4538	Business	Automotive / Mechanical	19 Oakdene Vale	Kentville	NS B4N 2C9	Canada	45.0818606	-64.493919	19 Oakdene Avenue    Kentville  NS  B4N 2C9  CA	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>Valley Tire</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 19 Oakdene Vale</i> &nbsp;|&nbsp; 📞 902-678-4538 &nbsp;|&nbsp; 🌐 www.valleytire.ca	Valley_Tire.jpg	business-map	image		
Buddens Appliance Services	Neil	Cross	info@buddensappliance.ca	http://www.buddensappliance.ca/	902-678-7895	Business	Automotive / Mechanical	164 Nichols Ave	Kentville	NS B4N 2H6	Canada	45.0940168	-64.4921534	164 Nichols Avenue    Kentville  NS  B4N 2H6  CA	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>Buddens Appliance Services</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 164 Nichols Ave</i> &nbsp;|&nbsp; 📞 902-678-7895 &nbsp;|&nbsp; 🌐 www.buddensappliance.ca	Buddens_Appliance_Services.jpg	business-map	image		
Huntley's Sub-Aqua Construction	Mike	Huntley	info@huntleyssubaqua.ca	http://www.huntleyssubaqua.ca	902-678-7234	Business	Automotive / Mechanical	245 Main St	Kentville	NS B4N 1J6	Canada	45.0756494	-64.4891921	245 Main Street    Kentville  NS  B4N 1K4  CA	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>Huntley's Sub-Aqua Construction</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 245 Main St</i> &nbsp;|&nbsp; 📞 902-678-7234 &nbsp;|&nbsp; 🌐 www.huntleyssubaqua.ca	Huntleys_Sub-Aqua_Construction.jpg	business-map	image		
Acadia Refrigeration & A/C Ltd	Darren	Best	darren@acadiarefrigeration.com	http://www.acadiarefrigeration.com	902-678-7868	Business	Automotive / Mechanical	34 Donald E Hiltz Connector Rd	Kentville	NS B4N 3X9	Canada	45.0638741	-64.5498562	34 Donald E Hiltz Connector Rd, Kentville, NS B4N 3X9	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>Acadia Refrigeration & A/C Ltd</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 34 Donald E Hiltz Connector Rd</i> &nbsp;|&nbsp; 📞 902-678-7868 &nbsp;|&nbsp; 🌐 www.acadiarefrigeration.com	Acadia_Refrigeration_AC_Ltd.jpg	business-map	image		
Greenfields Indoor Air Solutions	Bill	Denyar	bill@greenfieldsair.ca	http://www.greenfieldsair.ca	902-681-7546	Business	Automotive / Mechanical	57 Webster St	Kentville	NS B4N 1H6	Canada	45.0783268	-64.4957277	57 Webster Street    Kentville  NS  B4N 1H6  CA	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 12:00	closed	<b>Greenfields Indoor Air Solutions</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 57 Webster St</i> &nbsp;|&nbsp; 📞 902-681-7546 &nbsp;|&nbsp; 🌐 www.greenfieldsair.ca	Greenfields_Indoor_Air_Solutions.jpg	business-map	image		
Wetmore Appraisals	Carol	Wetmore	wetmoreappraisals@eastlink.ca		902-679-1122	Business	Real Estate Services	21 Webster St	Kentville	NS B4N 1H4	Canada	45.0782344	-64.4947993	21 Webster Street    Kentville  NS  B4N 1H4  CA	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 10:00 T: 14:00	closed	<b>Wetmore Appraisals</b> — Professional real estate and property services in the Annapolis Valley. Whether you're buying, selling, or managing property in Kentville and surrounding areas, our team is here to help.<br><i>📍 21 Webster St</i> &nbsp;|&nbsp; 📞 902-679-1122	Wetmore_Appraisals.jpg	business-map	image		
Annapolis Valley Surveys	Mike	McKenna	Mckenna@avsurveys.ca	http://www.avsurveys.ca	902-678-6003	Business	Real Estate Services	54 Bridge St	Kentville	NS B4N 2E3	Canada	45.078467	-64.4943009	54 Bridge Street    Kentville  NS  B4N 2E3  CA	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 10:00 T: 14:00	closed	<b>Annapolis Valley Surveys</b> — Professional real estate and property services in the Annapolis Valley. Whether you're buying, selling, or managing property in Kentville and surrounding areas, our team is here to help.<br><i>📍 54 Bridge St</i> &nbsp;|&nbsp; 📞 902-678-6003 &nbsp;|&nbsp; 🌐 www.avsurveys.ca	Annapolis_Valley_Surveys.jpg	business-map	image		
RE/MAX Advantage	Donna	Conrad	donnaconrad2024@gmail.com	http://donnaannapolisvalley.com/	(902) 679-0700	Business	Real Estate Services	17a Webster Ct	Kentville	NS B4N 1H3	Canada	45.0777705	-64.4933677	17A Webster Court    Kentville  NS  B4N 1H3  CA	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 10:00 T: 14:00	closed	<b>RE/MAX Advantage</b> — Professional real estate and property services in the Annapolis Valley. Whether you're buying, selling, or managing property in Kentville and surrounding areas, our team is here to help.<br><i>📍 17a Webster Ct</i> &nbsp;|&nbsp; 📞 (902) 679-0700 &nbsp;|&nbsp; 🌐 donnaannapolisvalley.com	REMAX_Advantage.jpg	business-map	image		
Safeguard Property Management	Paul	Dixon	paul@safeguardservices.ca	http://www.safeguardservices.ca	902-678-0275	Business	Real Estate Services	27 Bridge St	Kentville	NS B4N 2E2	Canada	45.077577	-64.4940193	27 Bridge St, Kentville, NS B4N 2E2	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 10:00 T: 14:00	closed	<b>Safeguard Property Management</b> — Professional real estate and property services in the Annapolis Valley. Whether you're buying, selling, or managing property in Kentville and surrounding areas, our team is here to help.<br><i>📍 27 Bridge St</i> &nbsp;|&nbsp; 📞 902-678-0275 &nbsp;|&nbsp; 🌐 www.safeguardservices.ca	Safeguard_Property_Management.jpg	business-map	image		
Bricks and Birches	Robyn	Manning	robyn@bricksandbirches.com; office@bricksandbirches.com	http://bricksandbirches.com		Business	Real Estate Services	360 Main St	Kentville	NS B4N 1K6	Canada	45.0769764	-64.4949698	360 Main St. Kentville, Nova Scotia B4N 1K6	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 10:00 T: 14:00	closed	<b>Bricks and Birches</b> — Professional real estate and property services in the Annapolis Valley. Whether you're buying, selling, or managing property in Kentville and surrounding areas, our team is here to help.<br><i>📍 360 Main St</i> &nbsp;|&nbsp; 🌐 bricksandbirches.com	Bricks_and_Birches.jpg	business-map	image		
Equilibrium Engineering	Will	Marshall	william.marshall@lmmw.ca; info@lmmw.ca		902-300-1901	Business	Real Estate Services	12 Bridge St	Kentville	NS B4N 2E1	Canada	45.0773046	-64.4944145	12 Bridge Street Kentville	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 10:00 T: 14:00	closed	<b>Equilibrium Engineering</b> — Professional real estate and property services in the Annapolis Valley. Whether you're buying, selling, or managing property in Kentville and surrounding areas, our team is here to help.<br><i>📍 12 Bridge St</i> &nbsp;|&nbsp; 📞 902-300-1901	Equilibrium_Engineering.jpg	business-map	image		
Affordable Freight Consultants	Pam	Schofield	Pam@affordable-freight.com	http://www.affordable-freight.com	902-678-7480	Business	Specialty Services	76 Mee Rd	Kentville	NS B4N 1W7	Canada	45.0894961	-64.4814563	76 Mee Road    Kentville  NS  B4N 1W7  CA	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	closed	closed	<b>Affordable Freight Consultants</b> — Specialized professional services serving Kentville and the Annapolis Valley. Dedicated expertise and personalized attention for your unique needs.<br><i>📍 76 Mee Rd</i> &nbsp;|&nbsp; 📞 902-678-7480 &nbsp;|&nbsp; 🌐 www.affordable-freight.com	Affordable_Freight_Consultants.jpg	business-map	image		
Armour Transportation Systems	Jay	Neal	jneal@armour.ca	http://www.armour.ca	902-678-4444	Business	Specialty Services	1568 Harrington Rd	Kentville	NS B4N 3V7	Canada	45.0668791	-64.5517923	1568 Harrington Road    Kentville  NS  B4N 3V7  CA	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	closed	closed	<b>Armour Transportation Systems</b> — Specialized professional services serving Kentville and the Annapolis Valley. Dedicated expertise and personalized attention for your unique needs.<br><i>📍 1568 Harrington Rd</i> &nbsp;|&nbsp; 📞 902-678-4444 &nbsp;|&nbsp; 🌐 www.armour.ca	Armour_Transportation_Systems.jpg	business-map	image		
The Space	Jessica/ Jennifer		connecting@thespacecompany.com			Business	Specialty Services	10 Webster St #210	Kentville	NS B4N 1H7	Canada	45.0779284	-64.4947323	210 - 10 Webster Street, Kentville	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	closed	closed	<b>The Space</b> — Specialized professional services serving Kentville and the Annapolis Valley. Dedicated expertise and personalized attention for your unique needs.<br><i>📍 10 Webster St #210</i> &nbsp;|&nbsp;	The_Space.jpg	business-map	image		
Valley Music Studio	Brendan	Culver	info@valleymusicstudio.ca	https://valleymusicstudio.ca/	902-812-7008	Business	Community / Culture	10 Webster St Suite 112	Kentville	NS B4N 1H7	Canada	45.077902	-64.4946925	10 Webster Street, Suite 112, Kentville NS	True	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 20:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	closed	<b>Valley Music Studio</b> — Music lessons, instrument sales, and a creative space for musicians of all ages and abilities. Guitar, piano, drums, voice, and more in Downtown Kentville.	Valley_Music_Studio.jpg	business-map	image		
Kings North MLA	John	Lohr	johnlohrmla@gmail.com	http://www.johnlohr.ca	902-365-3420	Business	Community / Culture	401 Main St	Kentville	NS B4N	Canada	45.0773472	-64.4960829	401 Main Street    Kentville  NS  B4N 1K7  CA	False	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 20:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	closed	<b>Kings North MLA</b> — Enriching the cultural life of Downtown Kentville and the Annapolis Valley. A community-focused organization dedicated to arts, education, and bringing people together.<br><i>📍 401 Main St</i> &nbsp;|&nbsp; 📞 902-365-3420 &nbsp;|&nbsp; 🌐 www.johnlohr.ca	Kings_North_MLA.jpg	business-map	image		
CentreStage Theatre	Mindy	Vinqyist-Tymchuk	info@centrestagetheatre.ca	http://www.centrestagetheatre.ca	902-678-8040	Business	Community / Culture	61 River St	Kentville	NS B4N 1G8	Canada	45.0800595	-64.4970174	61 River Street    Kentville  NS  B4N 1G8  CA	True	closed	closed	closed	F: 19:00 T: 22:00	F: 19:00 T: 22:00	F: 14:00 T: 22:00	F: 14:00 T: 17:00	<b>CentreStage Theatre</b> — Kentville's community theatre bringing live performances to the heart of downtown. Musicals, dramas, comedies, and special events performed by talented local artists. A cultural gem in the Annapolis Valley.<br><i>📍 61 River St</i> &nbsp;|&nbsp; 📞 902-678-8040 &nbsp;|&nbsp; 🌐 www.centrestagetheatre.ca	CentreStage_Theatre.jpg	business-map	image		
Farm Credit Canada	Fred	Oickle	fred.Oickle@fcc-fac.ca; heidi.manicom@fcc.ca		902-679-5322	Business	Non-Profit Organizations	49 Bridge St	Kentville	NS B4N 2E3	Canada	45.078241	-64.4938193	49 Bridge Street    Kentville  NS  B4N 2E3  CA	False	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	closed	closed	<b>Farm Credit Canada</b> — A community organization serving Kentville and the Annapolis Valley. Working to make a positive difference through programs, services, and community engagement.<br><i>📍 49 Bridge St</i> &nbsp;|&nbsp; 📞 902-679-5322	Farm_Credit_Canada.jpg	business-map	image		
Hants Kings Business Development Centre	Stephen	Shaw	stephen.shaw@cbdc.ca	http://www.cbdc.ca	902-679-6215	Business	Non-Profit Organizations	448 Main St	Kentville	NS B4N 2N6	Canada	45.0771018	-64.4980126	448 Main Street Kentville	False	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	closed	closed	<b>Hants Kings Business Development Centre</b> — A community organization serving Kentville and the Annapolis Valley. Working to make a positive difference through programs, services, and community engagement.<br><i>📍 448 Main St</i> &nbsp;|&nbsp; 📞 902-679-6215 &nbsp;|&nbsp; 🌐 www.cbdc.ca	Hants_Kings_Business_Development_Centre.jpg	business-map	image		
Kentville Regional Library	Julie	Johnson	jjohnson@valleylibrary.ca	http://www.valleylibrary.ca	902-679-2544	Business	Community / Culture	440 Main St	Kentville	NS B4N 3W4	Canada	45.0769257	-64.497477	440 Main Street    Kentville  NS  B4N 2E5  CA	False	closed	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<b>Kentville Regional Library</b> — A welcoming community hub offering books, digital resources, programs, and meeting spaces. Free Wi-Fi, computer access, children's programming, and a quiet place to read, study, or explore.<br><i>📍 440 Main St</i> &nbsp;|&nbsp; 📞 902-679-2544 &nbsp;|&nbsp; 🌐 www.valleylibrary.ca	Kentville_Regional_Library.jpg	business-map	image		
Kentville Volunteer Fire Department	Brent	Platt	secretary@kentvillefire.ca	http://www.kentvillefire.ca	902-678-7798	Business	Community / Culture	463 Main St	Kentville	NS B4N 1K9	Canada	45.0777773	-64.4985161	463 Main Street    Kentville  NS  B4N 1K9  CA	False	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	F: 8:00 T: 17:00	closed	closed	<b>Kentville Volunteer Fire Department</b> — Enriching the cultural life of Downtown Kentville and the Annapolis Valley. A community-focused organization dedicated to arts, education, and bringing people together.<br><i>📍 463 Main St</i> &nbsp;|&nbsp; 📞 902-678-7798 &nbsp;|&nbsp; 🌐 www.kentvillefire.ca	Kentville_Volunteer_Fire_Department.jpg	business-map	image		
Kings County Museum			info@kingscountymuseum.ca	http://kingscountymuseum.ca	902-678-6237	Business	Community / Culture	37 Bridge St	Kentville	NS B4N 2E2	Canada	45.0778035	-64.4939639	37 Bridge Street    Kentville  NS  B4N 2E2  CA	True	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 20:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	closed	<b>Kings County Museum</b> — Discover the rich heritage of Kings County through fascinating exhibits, artifacts, and archives. Housed in a heritage building, the museum tells the stories of the people, industries, and events that shaped the Annapolis Valley.<br><i>📍 37 Bridge St</i> &nbsp;|&nbsp; 📞 902-678-6237 &nbsp;|&nbsp; 🌐 kingscountymuseum.ca	Kings_County_Museum.jpg	business-map	image		
Kings Point-to-Point Transit	Kathleen	Hull	info@kppt.ca	http://kppt.ca	902-681-2846	Business	Non-Profit Organizations	14 Aberdeen St	Kentville	NS B4N 2N1	Canada	45.07766	-64.496871	14 Aberdeen Street    Kentville  NS  B4N 3V9  CA	False	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	closed	closed	<b>Kings Point-to-Point Transit</b> — A community organization serving Kentville and the Annapolis Valley. Working to make a positive difference through programs, services, and community engagement.<br><i>📍 14 Aberdeen St</i> &nbsp;|&nbsp; 📞 902-681-2846 &nbsp;|&nbsp; 🌐 kppt.ca	Kings_Point-to-Point_Transit.jpg	business-map	image		
Nova Scotia Works	Mary	Fox	mary@communityinc.ca	http://www.communityinc.ca	902-679-7469	Business	Non-Profit Organizations	28 Aberdeen St	Kentville	NS B4N 2N1	Canada	45.0779907	-64.4967651	28 Aberdeen Street    Kentville  NS  B4N 3W4  CA	False	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	closed	closed	<b>Nova Scotia Works</b> — A community organization serving Kentville and the Annapolis Valley. Working to make a positive difference through programs, services, and community engagement.<br><i>📍 28 Aberdeen St</i> &nbsp;|&nbsp; 📞 902-679-7469 &nbsp;|&nbsp; 🌐 www.communityinc.ca	Nova_Scotia_Works.jpg	business-map	image		
Open Arms Resource Centre	Leanne	Jennings	leanne.jennings@openarms.ca; admin@openarms.ca.	https://openarms.ca/	902-690-8598	Business	Non-Profit Organizations	32 Bridge St	Kentville	NS B4N 2E1	Canada	45.0777063	-64.49444	32 Bridge Street    Kentville  NS  B4N 2E1  CA	False	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	closed	closed	<b>Open Arms Resource Centre</b> — A community organization serving Kentville and the Annapolis Valley. Working to make a positive difference through programs, services, and community engagement.<br><i>📍 32 Bridge St</i> &nbsp;|&nbsp; 📞 902-690-8598 &nbsp;|&nbsp; 🌐 openarms.ca	Open_Arms_Resource_Centre.jpg	business-map	image		
The Red Door	Erin	Eavis	thereddoorns@gmail.com	http://www.thereddoor.ca	902-679-1411	Business	Non-Profit Organizations	10 Webster St suite 110	Kentville	NS B4N 1H7	Canada	45.0779284	-64.4947323	10 Webster St suite 110, Kentville, NS B4N 1H7	False	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	closed	closed	<b>The Red Door</b> — A community organization serving Kentville and the Annapolis Valley. Working to make a positive difference through programs, services, and community engagement.<br><i>📍 10 Webster St suite 110</i> &nbsp;|&nbsp; 📞 902-679-1411 &nbsp;|&nbsp; 🌐 www.thereddoor.ca	The_Red_Door.jpg	business-map	image		
The Valley Care Pregnancy Centre	Bill	Davenport	info@asafeplaceforme.com	http://www.asafeplaceforme.com	902-678-6217	Business	Non-Profit Organizations	104 Webster St	Kentville	NS B4N 1H9	Canada	45.0783284	-64.4972572	104 Webster Street    Kentville  NS  B4N 1H9  CA	False	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	F: 8:30 T: 16:30	closed	closed	<b>The Valley Care Pregnancy Centre</b> — A community organization serving Kentville and the Annapolis Valley. Working to make a positive difference through programs, services, and community engagement.<br><i>📍 104 Webster St</i> &nbsp;|&nbsp; 📞 902-678-6217 &nbsp;|&nbsp; 🌐 www.asafeplaceforme.com	The_Valley_Care_Pregnancy_Centre.jpg	business-map	image		
